protein1	protein2
EPAS1	ARNT2
EPAS1	POU5F1
EPAS1	LIN28A
EPAS1	SOX2
EPAS1	PRDM14
EPAS1	HIF1A
CTCF	PBX1
CTCF	RXRA
CTCF	HOXA4
CTCF	MYC
CTCF	SMAD4
CTCF	MAFB
CTCF	NCOA3
CTCF	POU5F1
CTCF	HOXB1
CTCF	PKNOX1
CTCF	HOXA3
CTCF	SMAD5
CTCF	RARB
CTCF	SMAD1
CTCF	RARA
ATF2	JUN
ATF2	NR2E1
ATF2	JUND
ATF2	NR3C1
ATF2	CREB3L2
ATF2	GATAD2B
ATF2	FOS
ATF2	POU2F1
ATF2	IRF2
ATF2	TP53
ATF2	MECOM
ATF2	CREB1
ATF2	CREM
ATF2	NKX2-5
ATF2	YY1
ATF2	SNAI1
ATF2	SMAD3
ATF2	JUNB
ATF2	ATF3
ATF2	ESR1
ATF2	XBP1
ATF2	IRF1
ATF2	JDP2
ATF2	ATF4
ATF2	IRF4
ATF2	GATA3
ATF2	GATAD2A
ATF2	CREB5
ATF2	CBX2
ATF2	IRF7
ATF2	FOXA1
ATF2	IRF3
ATF2	IRF5
ATF2	REST
ATF2	SMAD5
ATF2	GTF2B
ATF2	SMAD1
ATF2	MBD3
ATF2	RELA
ATF2	GTF3A
ATF2	ATF1
ATF2	SNAI2
ATF2	GATA4
ATF2	EGR1
ATF2	SALL4
ATF2	IRF6
ATF2	SMAD4
ATF2	CREB3
ATF2	CREB3L1
ATF2	ATF6B
ATF2	PPARG
ATF2	CREB3L3
ATF2	ATF7
MXD1	MAX
THRA	RXRB
THRA	NCOA1
THRA	RXRA
THRA	RXRG
THRA	RARG
THRA	NCOA3
THRA	RARB
THRA	NCOA2
THRA	THRB
THRA	RARA
STAT3	STAT2
STAT3	BATF
STAT3	POU2F1
STAT3	IRF9
STAT3	NANOG
STAT3	SNAI1
STAT3	SMAD3
STAT3	RORC
STAT3	ESR1
STAT3	IRF1
STAT3	IRF4
STAT3	GATA3
STAT3	STAT1
STAT3	STAT5B
STAT3	FOXO1
STAT3	MYC
STAT3	BCL6
STAT3	SALL4
STAT3	FOXM1
STAT3	FOXO6
STAT3	STAT4
STAT3	JUN
STAT3	FOS
STAT3	FOXP3
STAT3	TP53
STAT3	HES1
STAT3	JUNB
STAT3	CUX1
STAT3	MYOD1
STAT3	POU5F1
STAT3	LIN28A
STAT3	STAT6
STAT3	TWIST1
STAT3	STAT5A
STAT3	FOXO3
STAT3	RORA
STAT3	SOX2
STAT3	DNMT1
STAT3	RELA
STAT3	CEBPB
STAT3	AR
STAT3	CEBPD
STAT3	ZEB1
STAT3	HIF1A
STAT3	FOXO4
MECOM	GATAD2B
MECOM	ATF2
MECOM	RUNX1
MECOM	SNAI1
MECOM	REST
MECOM	MBD3
MECOM	EGR1
MECOM	SALL4
MECOM	PPARG
MECOM	JUN
MECOM	NR2E1
MECOM	TP53
MECOM	GATAD2A
MECOM	CBX2
MECOM	SNAI2
FOSL2	JUN
FOSL2	FOSL1
FOSL2	JUND
